show_id,title,sentiment_compound,sentiment_label
s1806,Bending the Arc,0.8834,positive
s1807,Cadaver,0.0516,positive
s1808,Exes Baggage,0.34,positive
s1809,Fisherman's Friends,0.6956,positive
s1810,The Hows of Us,0.8462,positive
s1811,The Hummingbird Project,0.25,positive
s1812,"Yes, God, Yes",0.5574,positive
s1813,Brave Blue World: Racing to Solve Our Water Crisis,0.2732,positive
s1814,My Next Guest Needs No Introduction With David Letterman,0.5423,positive
s1815,Rebecca,-0.7351,negative
s1816,The Magic School Bus Rides Again The Frizz Connection,0.1007,positive
s1817,Tremors: Shrieker Island,-0.3818,negative
s1818,Beirut Oh Beirut,-0.5994,negative
s1819,Bosta,0.0,neutral
s1820,Ghadi,0.0,neutral
s1821,Heritages,-0.4939,negative
s1822,Listen,-0.1531,negative
s1823,Out of Life,0.6832,positive
s1824,Panoptic,-0.3182,negative
s1825,Taxi Ballad,0.3818,positive
s1826,The Kite,0.0,neutral
s1827,The Little Wars,0.25,positive
s1828,Under the Bombs,-0.5423,negative
s1829,Unsolved Mysteries,-0.7717,negative
s1830,West Beirut,-0.2732,negative
s1831,What Did I Mess,-0.3612,negative
s1832,Whispers,-0.7184,negative
s1833,Zozo,-0.8519,negative
s1834,ParaNorman,-0.5267,negative
s1835,Start-Up,0.891,positive
s1836,I Am Vengeance: Retaliation,0.5267,positive
s1837,Disconnect,0.4767,positive
s1838,Grand Army,0.1779,positive
s1839,In a Valley of Violence,-0.8834,negative
s1840,La Révolution,-0.7096,negative
s1841,Someone Has to Die,0.2732,positive
s1842,The Last Kids on Earth,0.5267,positive
s1843,The Trial of the Chicago 7,-0.7089,negative
s1844,Unfriended,-0.6908,negative
s1845,A Babysitter's Guide to Monster Hunting,-0.3818,negative
s1846,Batman: The Killing Joke,-0.8225,negative
s1847,El-Khawaga's Dilemma,-0.7783,negative
s1848,Fireman Sam,0.7351,positive
s1849,Half & Half,0.0,neutral
s1850,Kartini: Princess of Java,0.0772,positive
s1851,Love Like the Falling Rain,-0.3182,negative
s1852,One on One,0.0,neutral
s1853,Power Rangers Beast Morphers,-0.0258,neutral
s1854,Rooting for Roona,0.25,positive
s1855,Social Distance,0.0516,positive
s1856,A Choo,0.0258,neutral
s1857,BLACKPINK: Light Up the Sky,0.4019,positive
s1858,The Three Deaths of Marisela Escobedo,-0.6705,negative
s1859,Fida,0.5267,positive
s1860,Octonauts & the Great Barrier Reef,0.7096,positive
s1861,The Cabin with Bert Kreischer,0.802,positive
s1862,Dil,0.6369,positive
s1863,Disco Dancer,-0.5719,negative
s1864,Hunterrr,0.0772,positive
s1865,Kipo and the Age of Wonderbeasts,0.4019,positive
s1866,Phir Hera Pheri,0.802,positive
s1867,The Legend of Bhagat Singh,0.0,neutral
s1868,House of the Witch,-0.5719,negative
s1869,Deaf U,0.2023,positive
s1870,Ginny Weds Sunny,0.9052,positive
s1871,My Step Dad: The Hippie,-0.6486,negative
s1872,Super Monsters: Dia de los Monsters,0.8999,positive
s1873,The Forty-Year-Old Version,-0.1779,negative
s1874,The Haunting of Bly Manor,-0.4404,negative
s1875,Bigflo & Oli: Hip Hop Frenzy,0.296,positive
s1876,Do Do Sol Sol La La Sol,0.9224,positive
s1877,Palermo Hollywood,-0.6705,negative
s1878,Private Lives,-0.8126,negative
s1879,The 100,-0.6124,negative
s1880,Hubie Halloween,0.7861,positive
s1881,To the Lake,-0.875,negative
s1882,American Pie 9: Girls' Rules,0.6369,positive
s1883,Dolly Parton: Here I Am,0.0,neutral
s1884,StarBeam: Halloween Hero,0.6588,positive
s1885,Walk Away from Love,-0.09,negative
s1886,Bad Boy Billionaires: India,-0.7579,negative
s1887,David Attenborough: A Life on Our Planet,-0.4404,negative
s1888,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",0.3612,positive
s1889,Good Game: The Beginning,0.7003,positive
s1890,Pat a Pat Como,0.9117,positive
s1891,Qurious Como,0.4767,positive
s1892,A Chaster Marriage,0.7269,positive
s1893,A Go! Go! Cory Carson Halloween,0.3903,positive
s1894,DreamWorks Happy Holidays from Madagascar,0.7506,positive
s1895,Emily in Paris,0.8779,positive
s1896,H2O: Just Add Water,-0.296,negative
s1897,Òlòtūré,-0.8271,negative
s1898,Serious Men,-0.7089,negative
s1899,The Binding,-0.7269,negative
s1900,Turkish Dance School,0.0,neutral
s1901,Vampires vs. the Bronx,-0.5423,negative
s1902,You've Got This,0.8957,positive
s1903,All Because of You,0.7506,positive
s1904,An Ordinary Man,-0.9169,negative
s1905,Carlos Almaraz: Playing with Fire,0.7841,positive
s1906,Cold Harbour,-0.6808,negative
s1907,Evil,0.0,neutral
s1908,Familiar Wife,-0.0772,negative
s1909,Food Wars!: Shokugeki no Soma,-0.3818,negative
s1910,Free State of Jones,-0.6597,negative
s1911,"Good Morning, Verônica",-0.875,negative
s1912,Human Nature,0.0,neutral
s1913,Hunt for the Wilderpeople,-0.4588,negative
s1914,I'm Leaving Now,0.0,neutral
s1915,Journey of an African Colony,0.5106,positive
s1916,Oktoberfest: Beer & Blood,-0.3612,negative
s1917,Rize,0.0,neutral
s1918,Secreto bien guardado,0.6369,positive
s1919,Sword Art Online,0.3291,positive
s1920,The American Game,-0.1027,negative
s1921,The Book of Sun,-0.0644,negative
s1922,The Outpost,-0.872,negative
s1923,The Parkers,0.0,neutral
s1924,The Unicorn,-0.296,negative
s1925,We Have Always Lived in the Castle,0.5859,positive
s1926,You Cannot Hide,-0.6808,negative
s1927,American Murder: The Family Next Door,-0.4767,negative
s1928,Baxu and the Giants,0.0,neutral
s1929,Black Butler,-0.5574,negative
s1930,Man with a Plan,0.1779,positive
s1931,Poacher,-0.8402,negative
s1932,The Boys in the Band,0.8591,positive
s1933,The Boys in the Band: Something Personal,0.34,positive
s1934,Wentworth,-0.8402,negative
s1935,Bully,-0.4215,negative
s1936,Michelle Buteau: Welcome to Buteaupia,0.5574,positive
s1937,Welcome to Sudden Death,-0.3182,negative
s1938,Amandla! A Revolution in Four Part Harmony,0.5574,positive
s1939,Ankhon Dekhi,0.09,positive
s1940,Dedh Ishqiya,-0.4404,negative
s1941,Golmaal Returns,-0.0516,negative
s1942,Ishq Vishk,0.6124,positive
s1943,Ishqiya,0.34,positive
s1944,Jab We Met,0.7506,positive
s1945,Mann,-0.7311,negative
s1946,Manorama Six Feet Under,-0.5423,negative
s1947,Welcome,0.0772,positive
s1948,"Whose Vote Counts, Explained",0.3612,positive
s1949,Van Helsing,0.0,neutral
s1950,The Good Place,0.1531,positive
s1951,Time Out,0.8074,positive
s1952,A Perfect Crime,-0.6597,negative
s1953,Mighty Little Bheem,0.296,positive
s1954,My Mother's Wound,0.0,neutral
s1955,Sneakerheads,-0.34,negative
s1956,The School Nurse Files,0.6369,positive
s1957,Zulu Man in Japan,-0.5574,negative
s1958,Real Steel,-0.3182,negative
s1959,The Chef Show,0.8176,positive
s1960,Enola Holmes,0.128,positive
s1961,Kiss the Ground,0.0,neutral
s1962,The Playbook,0.891,positive
s1963,A Love Song for Latasha,-0.4019,negative
s1964,DTC Yukemuri Junjo Hen From High & Low,0.296,positive
s1965,High & Low The Movie,0.0516,positive
s1966,High & Low The Movie 2 / End of Sky,-0.4215,negative
s1967,High & Low The Movie 3 / Final Mission,0.0,neutral
s1968,High & Low The Red Rain,-0.6486,negative
s1969,High & Low The Worst,-0.0516,negative
s1970,Road To High & Low,-0.3818,negative
s1971,The Blue Elephant 2,-0.4215,negative
s1972,Bhaji In Problem,-0.1531,negative
s1973,Black,-0.765,negative
s1974,Fukrey Boyzzz,0.2023,positive
s1975,Saheb Biwi Aur Gangster Returns,0.6369,positive
s1976,Santa Banta Pvt Ltd,0.6003,positive
s1977,The Royal Bengal Tiger,-0.2023,negative
s1978,Dolly Kitty Aur Woh Chamakte Sitare,0.7096,positive
s1979,Ratched,-0.4215,negative
s1980,The American Barbecue Showdown,0.8537,positive
s1981,The Blacklist,0.7579,positive
s1982,Whipped,0.8402,positive
s1983,Anaamika,-0.6808,negative
s1984,Dragon's Dogma,-0.5267,negative
s1985,GIMS: On the Record,0.5106,positive
s1986,Horrid Henry's Gross Day Out,-0.1759,negative
s1987,Nee Enge En Anbe,-0.6808,negative
s1988,Residue,0.0,neutral
s1989,The Last Word,-0.4404,negative
s1990,Baby,0.3612,positive
s1991,Challenger,-0.5574,negative
s1992,Criminal: UK,-0.8779,negative
s1993,Dr Jason Leong Hashtag Blessed,0.0,neutral
s1994,Signs,-0.6908,negative
s1995,Sing On!,0.7964,positive
s1996,The Devil All The Time,-0.3612,negative
s1997,The Paramedic,-0.8658,negative
s1998,The Take,-0.7184,negative
s1999,Call the Midwife,0.0,neutral
s2000,Hope Frozen: A Quest to Live Twice,0.7906,positive
s2001,Michael McIntyre: Showman,0.6369,positive
s2002,Raising Victor Vargas,0.6808,positive
s2003,Taco Chronicles,0.8399,positive
s2004,The Smurfs 2,-0.4939,negative
s2005,Wish Upon a Unicorn,0.25,positive
s2006,Lara and the Beat,0.5106,positive
s2007,Buddi,0.9117,positive
s2008,Dad Wanted,0.3309,positive
s2009,Family Business,0.0,neutral
s2010,Girlfriends,0.9001,positive
s2011,How to Train Your Dragon 2,0.34,positive
s2012,Pets United,0.0258,neutral
s2013,The Barrier,-0.3818,negative
s2014,The Duchess,0.0,neutral
s2015,Wonho Chung: Live in New York,0.4939,positive
s2016,Aapla Manus,0.1531,positive
s2017,Ani... Dr. Kashinath Ghanekar,0.0,neutral
s2018,Bhai: Vyakti Ki Valli - Poorvardha,0.7096,positive
s2019,Bhai: Vyakti Ki Valli - Uttarardh,0.0,neutral
s2020,Cycle,-0.4767,negative
s2021,Dhh,0.9231,positive
s2022,Greenleaf,-0.6908,negative
s2023,Julie and the Phantoms,-0.1511,negative
s2024,Kaagar,0.1027,positive
s2025,Night of Knots,0.0,neutral
s2026,PhotoCopy,-0.5994,negative
s2027,Poshter Girl,0.2732,positive
s2028,Satria Heroes: Revenge of the Darkness,0.5106,positive
s2029,Son Of Adam,-0.6858,negative
s2030,The Babysitter: Killer Queen,-0.3182,negative
s2031,Cargo,-0.3612,negative
s2032,Cuties,0.3612,positive
s2033,Get Organized with The Home Edit,0.7506,positive
s2034,La Línea: Shadow of Narco,0.2617,positive
s2035,So Much Love to Give,-0.5574,negative
s2036,The Social Dilemma,-0.4404,negative
s2037,#Alive,-0.4215,negative
s2038,Record of Youth,0.0935,positive
s2039,My Octopus Teacher,0.6249,positive
s2040,Toll Booth,0.0,neutral
s2041,Transformers: Cyberverse,-0.296,negative
s2042,"Waiting for ""Superman""",-0.1779,negative
s2043,Cleverman,-0.2732,negative
s2044,Villain,-0.296,negative
s2045,Away,0.0,neutral
s2046,I'm Thinking of Ending Things,0.0,neutral
s2047,Kandasamys: The Wedding,-0.5719,negative
s2048,Spirit Riding Free: Riding Academy,0.6908,positive
s2049,The Lost Okoroshi,-0.128,negative
s2050,You're My Boss,0.4019,positive
s2051,Afonso Padilha: Classless,0.6486,positive
s2052,Ave Maryam,0.7506,positive
s2053,"Love, Guaranteed",0.9186,positive
s2054,Young Wallander,-0.6597,negative
s2055,Chef's Table: BBQ,0.0,neutral
s2056,Freaks – You're One of Us,-0.743,negative
s2057,Hotel for Dogs,-0.567,negative
s2058,Sky Tour: The Movie,0.4588,positive
s2059,The Witcher: A Look Inside the Episodes,0.0,neutral
s2060,Adrift,-0.1779,negative
s2061,Always Be My Maybe,0.6705,positive
s2062,Barbie Princess Adventure,0.3612,positive
s2063,Blue Exorcist,0.4939,positive
s2064,Bookmarks,0.4767,positive
s2065,Borgen,-0.3237,negative
s2066,Children of the Sea,0.0,neutral
s2067,Erased,0.4588,positive
s2068,Fate/Grand Order -First Order-,0.6808,positive
s2069,Felipe Esparza: Bad Decisions,-0.2732,negative
s2070,H,0.0,neutral
s2071,Heidi,0.3182,positive
s2072,Puss in Boots,0.8591,positive
s2073,Sex Drive,0.4939,positive
s2074,"Sister, Sister",0.5106,positive
s2075,Soldier,0.3182,positive
s2076,"Take the Ball, Pass the Ball",0.2023,positive
s2077,The Boss Baby: Get That Baby!,0.4019,positive
s2078,The Match,-0.34,negative
s2079,The Promised Neverland,-0.34,negative
s2080,The Smurfs,-0.6597,negative
s2081,Thomas and Friends,0.7096,positive
s2082,True: Friendship Day,0.8591,positive
s2083,Maniyarayile Ashokan,0.7579,positive
s2084,The Debt Collector 2,-0.7845,negative
s2085,All Together Now,0.7906,positive
s2086,I AM A KILLER: RELEASED,-0.891,negative
s2087,Masaba Masaba,0.698,positive
s2088,Santana,-0.6597,negative
s2089,Unknown Origins,-0.9071,negative
s2090,Aggretsuko,-0.8689,negative
s2091,Edge of Seventeen,-0.7783,negative
s2092,The Bridge Curse,-0.5106,negative
s2093,The Young Messiah,0.0,neutral
s2094,Her Mother's Killer,-0.9325,negative
s2095,Lingua Franca,0.743,positive
s2096,Making The Witcher,0.0,neutral
s2097,Million Dollar Beach House,0.0,neutral
s2098,Rising Phoenix,0.6249,positive
s2099,Emily's Wonder Lab,0.5562,positive
s2100,Trinkets,-0.5106,negative
s2101,Septembers of Shiraz,0.1531,positive
s2102,Baewatch: Parental Guidance,0.4019,positive
s2103,Ojos in d' House,0.6908,positive
s2104,Class of '83,-0.765,negative
s2105,Dark Forces,-0.7184,negative
s2106,Hoops,0.6249,positive
s2107,Rust Valley Restorers,0.7783,positive
s2108,The Sleepover,-0.25,negative
s2109,Goedam,-0.2732,negative
s2110,John Was Trying to Contact Aliens,0.3898,positive
s2111,Scarecrow,-0.5994,negative
s2112,The Crimes That Bind,-0.9136,negative
s2113,DeMarcus Family Rules,0.5106,positive
s2114,High Score,0.0,neutral
s2115,Little Singham: Kaal Ka Badla,0.6227,positive
s2116,Drunk Parents,-0.4404,negative
s2117,Meet the In-Laws,0.6705,positive
s2118,Crazy Awesome Teachers,-0.25,negative
s2119,Glitch Techs,-0.4767,negative
s2120,Islands of Faith,0.4215,positive
s2121,Les Misérables,0.6369,positive
s2122,Seventh Son,-0.8442,negative
s2123,Stranger,-0.4588,negative
s2124,Dérè: An African Tale,-0.4019,negative
s2125,Rita,0.5584,positive
s2126,Takki,0.7717,positive
s2127,What's Your Raashee?,-0.0516,negative
s2128,3%,0.8807,positive
s2129,Beyond the Boundary: ICC Women's T20 World Cup Australia 2020,0.0,neutral
s2130,Fearless,0.0,neutral
s2131,Nigerian Prince,-0.1027,negative
s2132,Octonauts & the Caves of Sac Actun,0.8316,positive
s2133,Project Power,-0.3612,negative
s2134,Teenage Bounty Hunters,0.0,neutral
s2135,The Great Heist,0.3818,positive
s2136,The Legend of Korra,-0.6369,negative
s2137,Zoids Wild,0.946,positive
s2138,An Easy Girl,0.4019,positive
s2139,Christine,-0.5927,negative
s2140,Simon Killer,0.3818,positive
s2141,(Un)Well,0.6486,positive
s2142,Gunjan Saxena: The Kargil Girl,-0.743,negative
s2143,Mr. Peabody & Sherman,0.0,neutral
s2144,"Rob Schneider: Asian Momma, Mexican Kids",0.802,positive
s2145,GAME ON: A Comedy Crossover Event,0.8074,positive
s2146,Terrace House: Tokyo 2019-2020,0.8225,positive
s2147,The Lost Husband,0.0772,positive
s2148,Diamonds in the Sky,-0.802,negative
s2149,The Governor,-0.6597,negative
s2150,We Summon the Darkness,-0.3818,negative
s2151,"Berlin, Berlin: Lolle on the Run",0.4939,positive
s2152,High Seas,-0.5106,negative
s2153,Selling Sunset,0.0,neutral
s2154,Sing On! Germany,0.7003,positive
s2155,Stars in the Sky: A Hunting Story,-0.3182,negative
s2156,The Magic School Bus Rides Again Kids In Space,0.0,neutral
s2157,Tiny Creatures,0.34,positive
s2158,Wizards: Tales of Arcadia,0.5106,positive
s2159,Word Party Songs,0.0,neutral
s2160,Work It,0.7906,positive
s2161,Ever After High,0.4404,positive
s2162,Nasha Natasha,0.0,neutral
s2163,The Rain,-0.0258,neutral
s2164,Anelka: Misunderstood,-0.2023,negative
s2165,Sin City,0.7845,positive
s2166,World's Most Wanted,-0.7054,negative
s2167,A Go! Go! Cory Carson Summer Camp,0.4019,positive
s2168,Malibu Rescue: The Next Wave,0.0,neutral
s2169,Mystery Lab,0.6908,positive
s2170,Sam Jay: 3 In The Morning,0.5994,positive
s2171,Immigration Nation,0.2732,positive
s2172,Almost Love,0.7579,positive
s2173,Killing Hasselhoff,-0.9022,negative
s2174,Moesha,0.7351,positive
s2175,My Perfect Landing,0.5106,positive
s2176,Nagi-Asu: A Lull in the Sea,0.4767,positive
s2177,Rogue Warfare: The Hunt,0.7184,positive
s2178,Super Monsters: The New Class,0.636,positive
s2179,The Next Step,0.7906,positive
s2180,The Ottoman Lieutenant,-0.6705,negative
s2181,Toradora!,0.7876,positive
s2182,Transformers Rescue Bots Academy,0.8442,positive
s2183,Tumi or not Tumi,0.0772,positive
s2184,What Keeps You Alive,0.7717,positive
s2185,Get Even,-0.6124,negative
s2186,Latte and the Magic Waterstone,-0.4939,negative
s2187,Raat Akeli Hai,-0.6597,negative
s2188,Seriously Single,0.812,positive
s2189,Sugar High,0.7184,positive
s2190,Sugar Rush,0.6478,positive
s2191,The Umbrella Academy,-0.8885,negative
s2192,Retablo,-0.631,negative
s2193,Transformers: War For Cybertron Trilogy,-0.8402,negative
s2194,Uma Maheswara Ugra Roopasya,-0.9477,negative
s2195,Unlucky Ploy,0.296,positive
s2196,It's Her Day,0.1531,positive
s2197,Redemption,-0.836,negative
s2198,Shine Your Eyes,0.0,neutral
s2199,The Hater,-0.6956,negative
s2200,The Speed Cubers,0.5267,positive
s2201,Tread,-0.5423,negative
s2202,Last Chance U,0.2263,positive
s2203,Banana Split,0.5574,positive
s2204,Shameless (U.S.),-0.3182,negative
s2205,Door Ke Darshan,-0.34,negative
s2206,Double World,0.4767,positive
s2207,Project Marathwada,-0.5423,negative
s2208,Animal Crackers,-0.3164,negative
s2209,Dragons: Rescue Riders: Secrets of the Songwing,0.802,positive
s2210,Nimbe,-0.9201,negative
s2211,Offering to the Storm,-0.9325,negative
s2212,Romance Doll,0.8555,positive
s2213,Sing On! Spain,-0.4389,negative
s2214,The Kissing Booth 2,0.4767,positive
s2215,Sinatra: All or Nothing at All,0.8316,positive
s2216,The Larva Island Movie,0.0,neutral
s2217,The Letter Reader,0.6369,positive
s2218,Fear City: New York vs The Mafia,-0.4404,negative
s2219,Norsemen,0.0,neutral
s2220,The Remix: Hip Hop X Fashion,0.0,neutral
s2221,Ip Man 4: The Finale,-0.4019,negative
s2222,Jack Whitehall: I'm Only Joking,0.5423,positive
s2223,Street Food: Latin America,0.8658,positive
s2224,Killer Women with Piers Morgan,-0.8934,negative
s2225,Funan,-0.6249,negative
s2226,Gigantosaurus,0.6705,positive
s2227,Single Wives,0.836,positive
s2228,Cursed,0.7506,positive
s2229,Father Soldier Son,-0.4588,negative
s2230,In The Dark,-0.6486,negative
s2231,Kissing Game,-0.2263,negative
s2232,The Millions,-0.5885,negative
s2233,Fatal Affair,0.2023,positive
s2234,MILF,0.3182,positive
s2235,Cold Feet,-0.5423,negative
s2236,Dark Desire,-0.0258,neutral
s2237,Little Singham: Legend of Dugabakka,-0.636,negative
s2238,Skin Decision: Before and After,0.8402,positive
s2239,Sunny Bunnies,0.5994,positive
s2240,Sylvia,0.3818,positive
s2241,The Players,0.3612,positive
s2242,The Business of Drugs,0.4215,positive
s2243,Urzila Carlson: Overqualified Loser,0.0258,neutral
s2244,We Are One,-0.743,negative
s2245,Hole in the Wall,-0.6597,negative
s2246,Dating Around: Brazil,-0.4019,negative
s2247,Down to Earth with Zac Efron,0.6808,positive
s2248,Mama's Boy,-0.4767,negative
s2249,The Claudia Kishi Club,0.7978,positive
s2250,The Epic Tales of Captain Underpants in Space,0.8074,positive
s2251,The Old Guard,0.5994,positive
s2252,The Twelve,-0.1779,negative
s2253,Your Excellency,-0.34,negative
s2254,Japan Sinks: 2020,-0.6908,negative
s2255,The Protector,0.1779,positive
s2256,Was It Love?,0.6369,positive
s2257,Born Racer,0.765,positive
s2258,Mucho Mucho Amor: The Legend of Walter Mercado,0.4404,positive
s2259,Stateless,-0.2263,negative
s2260,The Long Dumb Road,0.128,positive
s2261,Dr. Seuss' The Lorax,-0.3612,negative
s2262,Jim Jefferies: Intolerant,-0.743,negative
s2263,A Kid from Coney Island,-0.3182,negative
s2264,PNL - Dans la légende tour,0.4215,positive
s2265,Aiyyaa,0.4939,positive
s2266,Bbuddah Hoga Terra Baap,0.4939,positive
s2267,Blood Money,-0.128,negative
s2268,Bombay Talkies,0.4215,positive
s2269,Boss,-0.5859,negative
s2270,Budhia Singh: Born to Run,0.5423,positive
s2271,Chashme Baddoor,-0.2023,negative
s2272,Dharam Sankat Mein,-0.2617,negative
s2273,Drishyam,-0.9118,negative
s2274,Gabbar Is Back,0.4939,positive
s2275,Gollu Aur Pappu,-0.8834,negative
s2276,Hook,0.7579,positive
s2277,Inkaar,0.4215,positive
s2278,Madras Café,0.7906,positive
s2279,Mary Kom,-0.4767,negative
s2280,Michael,-0.9186,negative
s2281,Mumbai Delhi Mumbai,0.9545,positive
s2282,Oh My God,-0.1955,negative
s2283,One by Two,-0.4939,negative
s2284,Only,0.0,neutral
s2285,Penalty,-0.0516,negative
s2286,Players,-0.7579,negative
s2287,Pyaar Ka Punchnama 2,0.7506,positive
s2288,Queen,-0.25,negative
s2289,Shaitan,0.1531,positive
s2290,Special 26,-0.296,negative
s2291,Tanu Weds Manu,0.7184,positive
s2292,What the Fish,0.0,neutral
s2293,Little Singham,0.0314,neutral
s2294,Cable Girls,0.7579,positive
s2295,Desperados,0.9042,positive
s2296,Hunter in the Blue Side of Manchester,0.4939,positive
s2297,I Am Not Your Negro,-0.6249,negative
s2298,JU-ON: Origins,-0.5423,negative
s2299,Southern Survival,-0.3612,negative
s2300,The Baby-Sitters Club,0.5106,positive
s2301,The Perfect Picture: Ten Years Later,0.296,positive
s2302,Supermarket Sweep,0.34,positive
s2303,Thiago Ventura: POKAS,0.5719,positive
s2304,Warrior Nun,0.0,neutral
s2305,#AnneFrank - Parallel Stories,0.5859,positive
s2306,21 Again,-0.2732,negative
s2307,A Touch of Green,0.4678,positive
s2308,Abby Hatcher,0.8126,positive
s2309,Adú,-0.8074,negative
s2310,Ali Baba ve 7 Cüceler,-0.0258,neutral
s2311,David Foster: Off the Record,0.7096,positive
s2312,Double Jeopardy,-0.8176,negative
s2313,Pek Yakında,0.34,positive
s2314,Say I Do,0.8555,positive
s2315,Stardust,0.3182,positive
s2316,The F**k-It List,0.5994,positive
s2317,The Silence of Others,-0.8316,negative
s2318,Total Recall,-0.5994,negative
s2319,Trotro,0.6124,positive
s2320,Under the Riccione Sun,0.6808,positive
s2321,BNA,0.4019,positive
s2322,George Lopez: We'll Do It For Half,0.2732,positive
s2323,Homemade,-0.0258,neutral
s2324,The Mirror Boy,-0.0258,neutral
s2325,#FriendButMarried 2,0.7906,positive
s2326,Skin,0.5859,positive
s2327,Thackeray (Marathi),0.5719,positive
s2328,Dark,-0.6249,negative
s2329,Ride Like a Girl,0.8658,positive
s2330,All For Love,-0.6956,negative
s2331,Eurovision Song Contest: The Story of Fire Saga,0.4019,positive
s2332,Home Game,-0.25,negative
s2333,Kasanova,0.3818,positive
s2334,Ordinary People,-0.3182,negative
s2335,Seven (Tamil),-0.1531,negative
s2336,Seven (Telugu),-0.1531,negative
s2337,Thackeray (Hindi),0.5719,positive
s2338,Twogether,0.0,neutral
s2339,Krishna and His Leela,-0.9062,negative
s2340,Prem Ratan Dhan Payo,0.5106,positive
s2341,Vivah,0.6597,positive
s2342,Athlete A,-0.296,negative
s2343,Bulbbul,-0.7845,negative
s2344,Crazy Delicious,0.743,positive
s2345,Nobody Knows I'm Here,-0.4767,negative
s2346,Eric Andre: Legalize Everything,-0.3182,negative
s2347,"Roswell, New Mexico",-0.1531,negative
s2348,Kappela,0.1779,positive
s2349,The Royal Hibiscus Hotel,0.0772,positive
s2350,It's Okay to Not Be Okay,0.1531,positive
s2351,Woodshock,-0.9246,negative
s2352,Elevator Baby,0.3612,positive
s2353,Babies,0.34,positive
s2354,Chaman Bahaar,-0.8047,negative
s2355,Destiny,-0.3818,negative
s2356,Disclosure,0.6908,positive
s2357,Feel the Beat,0.1027,positive
s2358,Floor Is Lava,0.4019,positive
s2359,Lost Bullet,-0.8271,negative
s2360,Most Beautiful Thing,0.0,neutral
s2361,One-Way to Tomorrow,0.4019,positive
s2362,The Emigrant,0.0,neutral
s2363,The Politician,0.3182,positive
s2364,Wasp Network,-0.3612,negative
s2365,A Whisker Away,0.0772,positive
s2366,Alexandria ... Why?,-0.296,negative
s2367,Alexandria: Again and Forever,-0.3291,negative
s2368,An Egyptian Story,-0.3612,negative
s2369,Cairo Station,-0.9081,negative
s2370,Dark Waters,0.2732,positive
s2371,El límite infinito,-0.3612,negative
s2372,Lola Igna,0.5574,positive
s2373,One Take,0.296,positive
s2374,Saladin,0.0,neutral
s2375,Stray Bullet,-0.5994,negative
s2376,The Blazing Sun,-0.3182,negative
s2377,The Land,0.6124,positive
s2378,The Nut Job,-0.7579,negative
s2379,The Order,-0.8316,negative
s2380,An Evening with Beverly Luff Linn,-0.4404,negative
s2381,Riding Faith,-0.25,negative
s2382,Last Flight to Abuja,-0.9062,negative
s2383,The Darkness,-0.3182,negative
s2384,The Chase,0.0,neutral
s2385,The Show Must Go On: The Queen + Adam Lambert Story,0.0,neutral
s2386,Underdogs,0.743,positive
s2387,Wira,0.3818,positive
s2388,4th Republic,-0.6597,negative
s2389,Alexa & Katie,0.9022,positive
s2390,Asura Guru,-0.5267,negative
s2391,How to Get Away with Murder,-0.5859,negative
s2392,Milea,0.8316,positive
s2393,Axone,0.7184,positive
s2394,Da 5 Bloods,-0.5994,negative
s2395,Dating Around,-0.4019,negative
s2396,F is for Family,0.4404,positive
s2397,Frank Elstner: Just One Last Question,0.0,neutral
s2398,Jo Koy: In His Elements,0.6597,positive
s2399,Okko's Inn,-0.5994,negative
s2400,ONE PIECE,0.6369,positive
s2401,The Search,0.4215,positive
s2402,The Woods,0.3612,positive
s2403,From A to B,0.7783,positive
s2404,Menahi,0.4019,positive
s2405,Curon,0.0,neutral
s2406,DC's Legends of Tomorrow,-0.5859,negative
s2407,Lenox Hill,0.0,neutral
s2408,Middle Men,-0.3182,negative
s2409,My Mister,0.8235,positive
s2410,Reality Z,-0.4767,negative
s2411,The Witch: Part 1 - The Subversion,-0.5994,negative
s2412,Before I Fall,-0.4215,negative
s2413,365 Days,-0.1531,negative
s2414,Forensic,-0.6486,negative
s2415,Project Papa,0.8979,positive
s2416,Queen of the South,-0.4215,negative
s2417,The Night Clerk,-0.4767,negative
s2418,13 Reasons Why,-0.8176,negative
s2419,Before the Summer Crowds,0.8338,positive
s2420,Big Stone Gap,0.0,neutral
s2421,Choked: Paisa Bolta Hai,-0.1027,negative
s2422,Merry Men 2: Another Mission,0.8625,positive
s2423,Queer Eye,0.0,neutral
s2424,Supernatural,-0.4019,negative
s2425,The Last Days of American Crime,-0.7003,negative
s2426,The Light of My Eyes,0.8442,positive
s2427,BAKI,-0.6486,negative
s2428,Hot Sweet Sour,0.3818,positive
s2429,Overnight Republic,0.3612,positive
s2430,Can’t Complain,0.4019,positive
s2431,Lady Bird,0.7964,positive
s2432,Spelling the Dream,0.7906,positive
s2433,Alone,-0.7269,negative
s2434,Andaleeb El Dokki,-0.4767,negative
s2435,Let's Dance,-0.4404,negative
s2436,Life's Speed Bump,0.6249,positive
s2437,Mr. Romantic,0.8402,positive
s2438,My Horrible Grandma,0.0,neutral
s2439,Sorry To Disturb,-0.743,negative
s2440,The Student Cop,-0.3612,negative
s2441,True: Rainbow Rescue,0.9312,positive
s2442,What's Up?,0.6597,positive
s2443,X Large,-0.8519,negative
s2444,122,-0.836,negative
s2445,Cardcaptor Sakura,0.0,neutral
